angle,distance
70.202637,8184.000000
70.339966,8288.000000
70.609131,0.000000
70.812378,7904.000000
70.999146,7968.000000
71.202393,7968.000000
71.246338,0.000000
71.405640,7984.000000
71.608887,7976.000000
71.812134,8000.000000
72.015381,7960.000000
72.202148,7872.000000
72.405396,7840.000000
72.608643,7784.000000
72.811890,7760.000000
73.015137,7744.000000
73.218384,7712.000000
73.421631,7680.000000
73.608398,7648.000000
73.811646,7616.000000
74.014893,7576.000000
74.218140,7552.000000
74.421387,7528.000000
74.624634,7504.000000
74.827881,7472.000000
75.014648,7440.000000
75.069580,0.000000
75.217896,7408.000000
75.421143,7376.000000
75.624390,7336.000000
75.827637,7368.000000
76.234131,7792.000000
76.420898,7776.000000
76.624146,7824.000000
76.827393,7920.000000
77.030640,7960.000000
77.233887,7984.000000
77.437134,8024.000000
77.640381,8032.000000
77.827148,7952.000000
78.030396,7944.000000
79.436646,1148.000000
79.639893,1142.000000
79.843140,1132.000000
80.046387,1128.000000
80.249634,1124.000000
80.496826,1114.000000
80.700073,1110.000000
80.809937,0.000000
80.903320,1104.000000
81.106567,1096.000000
81.309814,1092.000000
81.513062,1090.000000
81.699829,1086.000000
81.903076,1082.000000
82.106323,1076.000000
82.309570,1074.000000
82.562256,1068.000000
82.765503,1066.000000
82.968750,1066.000000
83.144531,0.000000
83.166504,1064.000000
83.369751,1062.000000
83.572998,1064.000000
83.765259,1060.000000
83.968506,1054.000000
84.171753,1052.000000
84.375000,1052.000000
84.572754,1054.000000
84.776001,1048.000000
84.979248,1048.000000
85.171509,1050.000000
85.374756,1048.000000
85.578003,1046.000000
85.781250,1044.000000
85.979004,1044.000000
86.182251,1046.000000
86.385498,1046.000000
86.577759,1046.000000
86.781006,1046.000000
86.984253,1044.000000
87.187500,1044.000000
87.385254,1046.000000
87.588501,1046.000000
87.791748,1046.000000
87.984009,1046.000000
88.187256,1046.000000
88.390503,1046.000000
88.593750,1050.000000
88.791504,1052.000000
88.994751,1056.000000
89.187012,1058.000000
89.390259,1056.000000
89.593506,1054.000000
89.796753,1058.000000
90.000000,1064.000000
90.186768,1066.000000
90.390015,1064.000000
90.593262,1064.000000
90.796509,1068.000000
90.933838,1074.000000
91.137085,1082.000000
91.323853,1080.000000
91.527100,1078.000000
91.730347,1084.000000
91.933594,1094.000000
92.120361,1094.000000
92.323608,1096.000000
92.526855,1100.000000
92.730103,1104.000000
92.916870,1110.000000
93.120117,1114.000000
93.262939,1118.000000
93.466187,1124.000000
94.075928,1136.000000
95.059204,7976.000000
95.262451,7912.000000
95.449219,7920.000000
95.652466,7920.000000
95.855713,7912.000000
96.058960,7912.000000
96.245728,7920.000000
96.448975,7936.000000
96.652222,7944.000000
96.855469,7944.000000
97.042236,7944.000000
97.245483,7944.000000
97.448730,7944.000000
97.651978,7960.000000
97.855225,7968.000000
98.041992,7984.000000
98.245239,7984.000000
98.448486,7992.000000
98.448486,0.000000
98.651733,8000.000000
98.657227,0.000000
98.838501,8000.000000
99.041748,8008.000000
99.085693,0.000000
99.244995,8016.000000
99.294434,0.000000
99.448242,8024.000000
99.508667,0.000000
99.651489,8064.000000
99.722900,0.000000
99.931641,0.000000
100.041504,8072.000000
100.145874,0.000000
100.244751,8008.000000
100.360107,0.000000
100.447998,8000.000000
100.568848,0.000000
100.640259,8016.000000
100.783081,0.000000
100.843506,8016.000000
101.046753,8016.000000
101.250000,8008.000000
101.436768,8072.000000
101.640015,8072.000000
101.843262,7984.000000
102.046509,7904.000000
102.249756,7848.000000
102.436523,7832.000000
102.639771,7840.000000
103.183594,8520.000000
103.386841,8520.000000
103.573608,8544.000000
103.776855,8624.000000
104.183350,8304.000000
104.370117,8320.000000
104.573364,8336.000000
104.776611,8328.000000
104.979858,8320.000000
105.166626,8328.000000
105.369873,8336.000000
105.573120,8328.000000
105.776367,8328.000000
105.979614,8344.000000
106.094971,0.000000
106.171875,8344.000000
106.369629,8344.000000
106.572876,8352.000000
106.776123,8352.000000
106.968384,8408.000000
107.655029,3292.000000
107.858276,3268.000000
108.808594,1436.000000
109.011841,1420.000000
109.215088,1408.000000
109.286499,0.000000
109.401855,1396.000000
109.495239,0.000000
109.605103,1388.000000
109.808350,1382.000000
110.011597,1376.000000
110.214844,1370.000000
110.467529,1362.000000
110.560913,0.000000
110.670776,1358.000000
110.857544,1356.000000
111.060791,1354.000000
111.264038,1350.000000
111.467285,1346.000000
111.670532,1342.000000
111.857300,1340.000000
112.060547,1336.000000
112.263794,1334.000000
112.467041,1332.000000
112.670288,1332.000000
112.857056,1330.000000
113.060303,1328.000000
113.263550,1328.000000
113.466797,1326.000000
113.653564,1326.000000
113.856812,1326.000000
113.961182,0.000000
114.060059,1326.000000
114.263306,1326.000000
114.466553,1324.000000
114.598389,0.000000
114.653320,1324.000000
114.856567,1326.000000
115.059814,1328.000000
115.263062,1328.000000
115.449829,1328.000000
115.653076,1328.000000
115.856323,1328.000000
116.059570,1328.000000
116.262817,1328.000000
116.449585,1328.000000
116.652832,1332.000000
116.856079,1334.000000
117.059326,1336.000000
117.246094,1338.000000
117.449341,1340.000000
117.652588,1342.000000
117.855835,1344.000000
118.059082,1348.000000
118.245850,1350.000000
118.449097,1354.000000
118.652344,1356.000000
118.855591,1360.000000
119.058838,1366.000000
119.201660,1370.000000
119.404907,1376.000000
119.591675,1382.000000
119.794922,1390.000000
119.998169,1398.000000
120.201416,1408.000000
120.388184,1422.000000
120.794678,1436.000000
121.404419,6448.000000
121.607666,6392.000000
121.810913,6368.000000
122.014160,6328.000000
122.200928,6288.000000
122.404175,6280.000000
122.607422,6264.000000
122.810669,6224.000000
123.013916,6208.000000
123.200684,6192.000000
123.403931,6160.000000
123.651123,6136.000000
123.854370,6112.000000
124.057617,6096.000000
124.260864,6072.000000
124.464111,6048.000000
124.650879,6016.000000
124.854126,5984.000000
125.057373,5944.000000
125.260620,5912.000000
125.463867,5904.000000
125.656128,5880.000000
125.859375,5872.000000
126.057129,5848.000000
126.260376,5832.000000
126.452637,5808.000000
126.655884,5792.000000
126.859131,5768.000000
127.062378,5736.000000
127.265625,5704.000000
127.348022,0.000000
127.452393,5672.000000
127.655640,5656.000000
127.770996,0.000000
127.858887,5648.000000
127.985229,0.000000
128.062134,5656.000000
128.199463,0.000000
128.265381,5672.000000
128.408203,0.000000
128.452148,5672.000000
128.622437,0.000000
128.655396,5656.000000
128.836670,0.000000
128.858643,5648.000000
129.061890,5632.000000
129.265137,5608.000000
129.451904,5568.000000
129.655151,5504.000000
129.858398,5480.000000
130.061646,5456.000000
130.264893,5440.000000
130.858154,5424.000000
131.061401,5392.000000
131.264648,5352.000000
131.467896,5376.000000
131.654663,5376.000000
131.857910,5320.000000
132.061157,5304.000000
132.654419,5288.000000
133.698120,2048.000000
134.307861,2044.000000
134.467163,5088.000000
134.653931,5088.000000
134.857178,5080.000000
135.060425,5056.000000
135.263672,5048.000000
135.466919,5040.000000
135.653687,5024.000000
135.856934,5016.000000
136.060181,5008.000000
136.263428,5000.000000
136.466675,4992.000000
136.653442,4968.000000
136.856689,4952.000000
137.059937,4944.000000
137.263184,4928.000000
137.466431,4920.000000
137.713623,4912.000000
137.916870,4896.000000
138.120117,4888.000000
138.312378,4880.000000
138.515625,4864.000000
138.609009,0.000000
138.713379,4840.000000
138.823242,0.000000
138.916626,4832.000000
139.119873,4832.000000
139.312134,4816.000000
139.515381,4800.000000
139.718628,4792.000000
139.921875,4784.000000
140.119629,4768.000000
140.311890,4752.000000
140.515137,4744.000000
140.526123,0.000000
140.718384,4744.000000
140.734863,0.000000
140.921631,4736.000000
141.124878,4728.000000
141.163330,0.000000
141.311646,4712.000000
141.372070,0.000000
141.514893,4696.000000
141.718140,4688.000000
141.800537,0.000000
141.921387,4688.000000
142.009277,0.000000
142.124634,4672.000000
142.311401,4664.000000
142.437744,0.000000
142.514648,4656.000000
142.646484,0.000000
142.717896,4640.000000
142.921143,4632.000000
143.124390,4624.000000
143.311157,4616.000000
143.514404,4608.000000
143.717651,4600.000000
143.920898,4584.000000
144.124146,4576.000000
144.310913,4568.000000
144.514160,4560.000000
144.717407,4552.000000
144.920654,4552.000000
145.123901,4544.000000
145.310669,4584.000000
145.513916,4616.000000
145.717163,4608.000000
145.920410,4608.000000
146.123657,4608.000000
146.326904,4608.000000
146.513672,4600.000000
146.716919,4592.000000
146.920166,4584.000000
147.123413,4576.000000
147.326660,4560.000000
147.513428,4552.000000
147.716675,4544.000000
147.919922,4544.000000
148.123169,4528.000000
148.326416,4520.000000
148.529663,4512.000000
148.716431,4512.000000
148.919678,4504.000000
149.122925,4496.000000
149.326172,4488.000000
149.529419,4488.000000
149.732666,4480.000000
149.919434,4480.000000